Email address,Domain name,Organization,Country,State,City,Postal code,Street,Confidence score,Type,Number of sources,Pattern,First name,Last name,Department,Position,Twitter handle,LinkedIn URL,Phone number,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6,Source 7,Source 8,Source 9,Source 10,Source 11,Source 12,Source 13,Source 14,Source 15,Source 16,Source 17,Source 18,Source 19,Source 20,Source 21,Source 22,Source 23,Source 24,Source 25,Source 26,Source 27,Source 28,Source 29,Source 30
sylvie.harton@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,99,personal,1,{first}.{last},Sylvie,Harton,Management,HR,"","","",http://2019.amecglobalsummit.org/sponsors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lisa.davis@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,99,personal,0,{first}.{last},Lisa,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripti.gupta@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,98,personal,5,{first}.{last},Tripti,Gupta,,,,,,http://televox.com/blog/healthcare/patient-engagement/embedded-vs-integrated-patient-engagement-solutions,http://televox.com/blog/news/in-the-news/manual-patient-outreach,http://televox.com/blog/news/in-the-news/news-patient-engagement-innovation,http://televox.com/burned-out-short-staffed-and-fed-up-how-a-digital-patient-engagement-platform-can-give-staff-a-break,http://televox.com/how-automation-is-paving-the-path-for-improved-patient-experience-and-operational-efficiency,,,,,,,,,,,,,,,,,,,,,,,,
shellie.babin@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,98,personal,5,{first}.{last},Shellie,Babin,,,,,,http://disabledperson.com/jobs/26221159-lead-account-executive-new-logo-hunter-west-digital-media-solutions,http://disabledperson.com/jobs/27183048-account-executive-new-logo-hunter,http://disabledperson.com/jobs/27167515-account-executive-new-logo-hunter,http://disabledperson.com/jobs/26544608-account-executive-new-logo-hunter,http://disabledperson.com/jobs/25852439-lead-account-executive-new-logo-hunter,,,,,,,,,,,,,,,,,,,,,,,,
mmpowers@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,97,personal,0,{first}.{last},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dguglietta@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,97,personal,4,{first}.{last},,,,,,,,http://voip-info.org/hypercube-tdm-interconnection,http://changes593.rssing.com/chan-4121506/all_p279.html,http://changes593.rssing.com/chan-4121506/all_p236.html,http://changes593.rssing.com/chan-4121506/all_p237.html,,,,,,,,,,,,,,,,,,,,,,,,,
domaincontact@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,97,generic,4,{first}.{last},,,Support,,,,,http://webstatsdomain.org/d/www.donkey-kong.org,http://sitegur.com/intercall.com,http://j-seo.com/who-is/b/p-2998,http://whois.webrankstats.com/whois/orthodontist-directory.com,,,,,,,,,,,,,,,,,,,,,,,,,
ucbilling@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,96,generic,0,{first}.{last},,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,96,generic,5,{first}.{last},,,,,,,,http://scamscriminals.blogspot.com/2012/11/scammer-richard-west.html,http://scamscriminals.blogspot.com/2012/11,http://tenant.net/forum/board/messages/arcs01/arcs0111/16504.html,http://tenant.net/forum/board/messages/arcs01/arcs0111/16542.html,http://scamscriminals.blogspot.com/2012_11_01_archive.html,,,,,,,,,,,,,,,,,,,,,,,,
lmbrosky@west.com,west.com,West,US,DC,Washington,20580,600 Pennsylvania Ave,95,personal,1,{first}.{last},,,,,,,,http://west.com/legal-privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
