Email address,Domain name,Organization,Country,State,City,Postal code,Street,Confidence score,Type,Number of sources,Pattern,First name,Last name,Department,Position,Twitter handle,LinkedIn URL,Phone number,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6,Source 7,Source 8,Source 9,Source 10,Source 11,Source 12,Source 13,Source 14,Source 15,Source 16,Source 17,Source 18,Source 19,Source 20,Source 21,Source 22,Source 23,Source 24,Source 25,Source 26,Source 27,Source 28,Source 29,Source 30
pcrsales@metroford.in,metroford.in,Ford Motor Company,,,,,,94,generic,17,{last}{f},,,Sales,,,,,http://telugu.cardekho.com/ford/bangalore/cardealers/metro-ford-192111.htm,http://telugu.cardekho.com/ford/bangalore/cardealers/metro-ford-175637.htm,http://tamil.cardekho.com/ford/bangalore/cardealers/elite-ford-175634.htm,http://telugu.cardekho.com/ford/bangalore/cardealers/jsp-ford-194950.htm,http://telugu.cardekho.com/ford/bangalore/cardealers/elite-ford-175634.htm,http://cardekho.com/ford/bangalore/cardealers/elite-ford-175634.htm,http://telugu.cardekho.com/ford/bangalore/cardealers/pps-ford-202156.htm,http://cardekho.com/ford/bangalore/cardealers/pps-ford-202156.htm,http://malayalam.cardekho.com/ford/bangalore/cardealers/pps-ford-201852.htm,http://tamil.cardekho.com/ford/bangalore/cardealers/cauvery-ford-193418.htm,http://tamil.cardekho.com/ford/bangalore/cardealers/jsp-ford-194950.htm,http://tamil.cardekho.com/ford/bangalore/cardealers/cauvery-ford-175641.htm,http://tamil.cardekho.com/ford/bangalore/cardealers/pps-ford-200091.htm,http://cardekho.com/ford/bangalore/cardealers/cauvery-ford-193418.htm,http://cardekho.com/ford/bangalore/cardealers/jsp-ford-194950.htm,http://cardekho.com/ford/bangalore/cardealers/metro-ford-192111.htm,http://driveat.com/metro-ford-702188.html,,,,,,,,,,,,
bellary@metroford.in,metroford.in,Ford Motor Company,,,,,,89,personal,4,{last}{f},,,,,,,,http://seeglobal.in/listing/ford-car-showroom-metro-ford-ballari-bellary,http://thetelityellowpages.com/listings/automobile-commercial-vehicle-spare-parts-suppliers/page/2,http://thetelityellowpages.com/listings/car-dealer,http://automobiledealersindia.blogspot.com/2009/02/dealers-of-ford-cars-in-karnataka-india.html,,,,,,,,,,,,,,,,,,,,,,,,,
hubli@metroford.in,metroford.in,Ford Motor Company,,,,,,88,personal,3,{last}{f},,,,,,,,http://compare.pricesofindia.com/car/dealers/ford/karnataka/shimoga,http://compare.pricesofindia.com/car/dealers/ford/karnataka/hubli,http://automobiledealersindia.blogspot.com/2009/02/dealers-of-ford-cars-in-karnataka-india.html,,,,,,,,,,,,,,,,,,,,,,,,,,
leadmanagment@metroford.in,metroford.in,Ford Motor Company,,,,,,82,personal,5,{last}{f},,,,,,,,http://motorhaat.com/motors/new-car/ford-dealer/mody-ford-ford-car-dealer-in-hyderabad-telangana-2,http://malayalam.cardekho.com/ford/hubli/cardealers/metro-ford-175645.htm,http://kannada.cardekho.com/ford/hubli/cardealers/metro-ford-175645.htm,http://cardekho.com/ford/bellary/cardealers/metro-ford-175643.htm,http://cardekho.com/ford/hubli/cardealers/metro-ford-175645.htm,,,,,,,,,,,,,,,,,,,,,,,,
crm@metroford.in,metroford.in,Ford Motor Company,,,,,,79,generic,1,{last}{f},,,,,,,,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmservice@metroford.in,metroford.in,Ford Motor Company,,,,,,79,generic,3,{last}{f},,,Support,,,,,http://motorhaat.com/motors/new-car/ford-dealer/metro-ford-ford-car-dealer-in-bangalore-karnataka-2,http://automobileplanet.com/2010/12/ford-dealers-in-bangalore.html,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,
servicemanager@metroford.in,metroford.in,Ford Motor Company,,,,,,78,generic,1,{last}{f},,,Support,,,,,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gm@metroford.in,metroford.in,Ford Motor Company,,,,,,78,generic,2,{last}{f},,,,,,,,http://automobileplanet.com/2010/12/ford-dealers-in-bangalore.html,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
ljws@metroford.in,metroford.in,Ford Motor Company,,,,,,77,generic,2,{last}{f},,,,,,,,http://automobileplanet.com/2010/12/ford-dealers-in-bangalore.html,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsrgws@metroford.in,metroford.in,Ford Motor Company,,,,,,76,generic,2,{last}{f},,,,,,,,http://automobileplanet.com/2010/12/ford-dealers-in-bangalore.html,http://automobileplanet.com/2012/01/ford-car-dealers-in-bangalore.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
sales@metroford.in,metroford.in,Ford Motor Company,,,,,,75,generic,1,{last}{f},,,Sales,,,,,http://driveat.com/metro-ford-704433.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customercare@metroford.in,metroford.in,Ford Motor Company,,,,,,74,generic,1,{last}{f},,,Support,,,,,http://driveat.com/metro-ford-702196.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiru4@metroford.in,metroford.in,Ford Motor Company,,,,,,60,personal,0,{last}{f},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvgbm@metroford.in,metroford.in,Ford Motor Company,,,,,,10,generic,0,{last}{f},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davanagereservice@metroford.in,metroford.in,Ford Motor Company,,,,,,10,generic,0,{last}{f},,,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davanagere@metroford.in,metroford.in,Ford Motor Company,,,,,,10,personal,0,{last}{f},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
