Email address,Domain name,Organization,Country,State,City,Postal code,Street,Confidence score,Type,Number of sources,Pattern,First name,Last name,Department,Position,Twitter handle,LinkedIn URL,Phone number,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6,Source 7,Source 8,Source 9,Source 10,Source 11,Source 12,Source 13,Source 14,Source 15,Source 16,Source 17,Source 18,Source 19,Source 20,Source 21,Source 22,Source 23,Source 24,Source 25,Source 26,Source 27,Source 28,Source 29,Source 30
zhaosheng@zhongxi.cn,zhongxi.cn,,,,,,,94,personal,15,{first}{last},,,,,,,,http://ukanhao.com/article/396563.html,http://itisticsolutions.com/vip_doc/23484446.html,http://itisticsolutions.com/vip_doc/26227962.html,http://hywhk.com/doc_22552706.html,http://zhongyin.net.cn/news-ykzx/15203.html,http://wudaokaoyan.com/gk/xk/bj/zhongxi/26599.html,http://wudaokaoyan.com/gk/xk/bj/zhongxi/29742.html,http://wudaokaoyan.com/gk/xk/bj/zhongxi/30256.html,http://wudaokaoyan.com/gk/xkzx/41877.html,http://aligotop.com/zl/171613.html,http://ms315.com/html/20220418/202204181611451.htm,http://mkao.cn/news/cjcx/124448.html,http://zhongyin.net.cn/news-xkzx/7428.html,http://zhongyin.net.cn/news-xkzx/9441.html,http://yks369.com/article/202102/16137857235386.html,,,,,,,,,,,,,,
zhongxi@zhongxi.cn,zhongxi.cn,,,,,,,93,generic,16,{first}{last},,,,,,,,http://daxue.163.com/web/university/detail/219,http://web.zhongxi.cn/xygg/10828.html,http://web.zhongxi.cn/en/academics/8832.html,http://web.zhongxi.cn/xxgk/cwyzc,http://web.zhongxi.cn/xxgk/jbxx,http://web.zhongxi.cn/xyjg/dwbm/jjsbgs,http://applysquare.com/institute-en/cn.chntheatre,http://chinainternship.co.jp/university/beijing/chuou_gigeki_gakuin.html,http://nouahsark.com/en/infocenter/culture/education/universities/universities-c.php,http://j-cfa.com/wp/wp-content/uploads/e855349ee212525481d1018792834020.pdf,http://123.dakao8.com/a/3572,http://caibihui.com/jigou/meiyan/duliyanxiao/2019-03-08/36.html,http://caibihui.com/jigou/meiyan/zishu/2019-03-08/37.html,http://univjobs.com/college/china-c-beijing.html,http://thptthanhkhe.edu.vn/du-hoc-tai-hoc-vien-hi-kich-trung-uong.html,http://63243.com/siteinfo/1040.html,,,,,,,,,,,,,
lxs@zhongxi.cn,zhongxi.cn,,,,,,,92,generic,19,{first}{last},,,,,,,,http://ukanhao.com/article/396563.html,http://hywhk.com/doc_22552706.html,http://cuecc.com/china/school/cad,http://ilovevenicefl.com/nevy2v/ykzl/mxxx/zhongxi/jianzhang/731.html,http://ilovevenicefl.com/nevy2v/ykzl/mxxx/zhongxi/jianzhang/735.html,http://ilovevenicefl.com/nevy2v/yikaolist/mxxx/zhongxi/jianzhang/731.html,http://ilovevenicefl.com/nevy2v/yikaolist/mxxx/zhongxi/jianzhang/735.html,http://ilovevenicefl.com/nevy2v/yikaolist/mxxx/zhongxi/jianzhang/736.html,http://school.cuecc.com/shaanxi/yulinu/account.htm,http://school.study-in-china.org/fujian/fzu/apply_c.aspx,http://school.study-in-china.org/fujian/fzu/programs5_c.aspx,http://school.study-in-china.org/fujian/fzu/programs4_c.aspx,http://school.study-in-china.org/fujian/fzu/programs3_c.aspx,http://school.study-in-china.org/fujian/fzu/fees_c.aspx,http://china.org.cn/learning_chinese/news/2011-04/22/content_22417963.htm,http://aligotop.com/zl/171613.html,http://kaobo.koolearn.com/20220112/842564.html,http://web.zhongxi.cn/zsjy,http://bjxgx.net/yikaoziliao/beijing/jsjz/2019/2019-01-14/4787.html,,,,,,,,,,
rsc@zhongxi.cn,zhongxi.cn,,,,,,,91,generic,18,{first}{last},,,,,,,,http://huairourc.com/sydwzpdetails_3f43ecaecb96cc3d.shtml,http://xuanwurc.com/sydwzpdetails_c63aaf68acbd53c9.shtml,http://huairourc.com/sydwzpdetails_0a02871fbb04c325.shtml,http://huairourc.com/sydwzpdetails_8695eb37c4ed86e2.shtml,http://gxzpw.org/region/beijing/gaoxiao/202112/1580411.html,http://gxzpw.org/region/beijing/gaoxiao/202112/1580413.html,http://bjxcrc.com/sydwzpdetails_dda522fca498870e.shtml,http://bjfsrc.com/sydwzpdetails_01c5a4cfb18bbba4.shtml,http://gccrcw.com/region/beijing/bjgx/202101/1252590.html,http://gxszw.com/region/beijing/gxzpbj/202101/1249039.html,http://gongzhao.work/info/f545ef999bece638,http://web.zhongxi.cn/xxgk/rssz/ryzp/13913.html,http://mba.org.cn/html/2012/de_mbajiuye5_0523/10626.html,http://web.zhongxi.cn/xxgk/rssz/ryzp/13728.html,http://web.zhongxi.cn/xxgk/rssz/ryzp/13875.html,http://web.zhongxi.cn/xygg/12973.html,http://web.zhongxi.cn/xygg/13589.html,http://bj.qcstudy.com/show-63-91651-1.html,,,,,,,,,,,
jjs@zhongxi.cn,zhongxi.cn,,,,,,,89,generic,8,{first}{last},,,,,,,,http://mgxk.com/149.html,http://fjgkedu.com/college/227/115/263789.html,http://dxtq.com/149.html,http://web.zhongxi.cn/xxgk/rssz,http://web.zhongxi.cn/xxgk/cwyzc,http://web.zhongxi.cn/xxgk/jbxx,http://web.zhongxi.cn/xyjg/dwbm/jjsbgs,http://web.zhongxi.cn/xxgk,,,,,,,,,,,,,,,,,,,,,
gatxs@zhongxi.cn,zhongxi.cn,,,,,,,88,personal,6,{first}{last},,,,,,,,http://ukanhao.com/article/396563.html,http://hywhk.com/doc_22552706.html,http://aligotop.com/zl/171613.html,http://kaobo.koolearn.com/20220112/842564.html,http://bbs.kaoboren.com/post/281474417688150,http://zhongyin.net.cn/news-xkzx/9441.html,,,,,,,,,,,,,,,,,,,,,,,
songzhen@zhongxi.cn,zhongxi.cn,,,,,,,84,personal,1,{first}{last},,,,,,,,http://ir.ia.ac.cn/handle/173211/48006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xuebao@zhongxi.cn,zhongxi.cn,,,,,,,79,personal,3,{first}{last},,,,,,,,http://xuebao.caztc.edu.cn/info/1154/1353.htm,http://xuekanba.com/qikan/4746.html,http://web.zhongxi.cn/xygg/11346.html,,,,,,,,,,,,,,,,,,,,,,,,,,
jyxx@zhongxi.cn,zhongxi.cn,,,,,,,79,personal,1,{first}{last},,,,,,,,http://web.zhongxi.cn/zsjy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitaldrama@zhongxi.cn,zhongxi.cn,,,,,,,78,generic,2,{first}{last},,,,,,,,http://web.zhongxi.cn/xygg/14975.html,http://kaoyan.wendu.com/2022/0801/205039.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,
